SID,NAME,SEASON
2000125N06136,DAMREY,2000
2000138N16119,LONGWANG,2000
2000141N18116,UNNAMED,2000
2000150N11117,UNNAMED,2000
2000169N17114,UNNAMED,2000
2000184N13133,KIROGI,2000
2000185N15117,KAI-TAK,2000
2000193N10131,UNNAMED,2000
2000196N16122,UNNAMED,2000
2000202N12131,BOLAVEN,2000
2000214N22155,JELAWAT,2000
2000230N08139,BILIS,2000
2000232N12116,KAEMI,2000
2000237N08138,PRAPIROON,2000
2000240N22115,MARIA,2000
2000245N14157,SAOMAI,2000
2000248N17117,WUKONG,2000
2000248N18126,BOPHA,2000
2000281N11111,UNNAMED,2000
2000295N20146,YAGI,2000
2000299N08139,XANGSANE,2000
2000305N06136,BEBINCA,2000
2000313N18126,UNNAMED,2000
2000364N07130,SOULIK,2000
2001047N09134,UNNAMED,2001
2001106N04138,UNNAMED,2001
2001125N05129,CIMARON,2001
2001170N11138,CHEBI,2001
2001180N15118,DURIAN,2001
2001181N08141,UTOR,2001
2001189N13130,TRAMI,2001
2001204N19127,YUTU,2001
2001206N14134,TORAJI,2001
2001213N18139,UNNAMED,2001
2001220N17118,USAGI,2001
2001225N18146,PABUK,2001
2001228N15118,UNNAMED,2001
2001239N19116,FITOW,2001
2001248N23125,NARI,2001
2001264N21126,LEKIMA,2001
2001284N16132,HAIYAN,2001
2001321N07148,UNNAMED,2001
2002008N07141,TAPAH,2002
2002057N06156,MITAG,2002
2002146N17113,UNNAMED,2002
2002155N20112,NOGURI,2002
2002178N04155,CHATAAN,2002
2002178N10139,RAMMASUN,2002
2002187N11160,HALONG,2002
2002189N21116,NAKRI,2002
2002195N11172,FENGSHEN,2002
2002199N08130,UNNAMED,2002
2002200N21150,FUNG-WONG,2002
2002214N19120,KAMMURI,2002
2002222N11131,UNNAMED,2002
2002227N14115,VONGFONG,2002
2002234N14164,RUSA,2002
2002240N16155,SINLAKU,2002
2002252N20121,HAGUPIT,2002
2002264N13114,MEKKHALA,2002
2003098N03159,KUJIRA,2003
2003144N16119,LINFA,2003
2003150N17119,NANGKA,2003
2003158N08156,SOUDELOR,2003
2003196N05150,IMBUDO,2003
2003196N11137,KONI,2003
2003212N09150,ETAU,2003
2003212N12130,MORAKOT,2003
2003226N07156,KROVANH,2003
2003230N18125,VAMCO,2003
2003231N20118,UNNAMED,2003
2003240N20139,DUJUAN,2003
2003247N10153,MAEMI,2003
2003259N13133,CHOI-WAN,2003
2003279N18118,UNNAMED,2003
2003283N26131,UNNAMED,2003
2003290N15132,KETSANA,2003
2003302N11133,MELOR,2003
2003316N11141,NEPARTAK,2003
2003319N13172,LUPIT,2003
2004074N03143,UNNAMED,2004
2004093N07154,SUDAL,2004
2004134N07132,NIDA,2004
2004136N05148,OMAIS,2004
2004156N16117,CONSON,2004
2004158N07142,CHANTHU,2004
2004164N06139,DIANMU,2004
2004174N14146,MINDULLE,2004
2004193N19136,KOMPASU,2004
2004206N20151,NAMTHEUN,2004
2004208N19118,UNNAMED,2004
2004215N22148,MALOU,2004
2004219N15137,RANANIM,2004
2004227N15144,MEGI,2004
2004230N09172,CHABA,2004
2004231N09147,AERE,2004
2004239N11171,SONGDA,2004
2004255N23120,HAIMA,2004
2004263N13153,MEARI,2004
2004275N14139,MA-ON,2004
