SID,NAME,SEASON
2000125N06136,DAMREY,2000
2000138N16119,LONGWANG,2000
2000141N18116,UNNAMED,2000
2000150N11117,UNNAMED,2000
2000169N17114,UNNAMED,2000
2000184N13133,KIROGI,2000
2000185N15117,KAI-TAK,2000
2000193N10131,UNNAMED,2000
2000196N16122,UNNAMED,2000
2000202N12131,BOLAVEN,2000
2000214N22155,JELAWAT,2000
2000230N08139,BILIS,2000
2000232N12116,KAEMI,2000
2000237N08138,PRAPIROON,2000
2000240N22115,MARIA,2000
2000245N14157,SAOMAI,2000
2000248N17117,WUKONG,2000
2000248N18126,BOPHA,2000
2000281N11111,UNNAMED,2000
2000295N20146,YAGI,2000
2000299N08139,XANGSANE,2000
2000305N06136,BEBINCA,2000
2000313N18126,UNNAMED,2000
2000364N07130,SOULIK,2000
2001047N09134,UNNAMED,2001
2001106N04138,UNNAMED,2001
2001125N05129,CIMARON,2001
2001170N11138,CHEBI,2001
2001180N15118,DURIAN,2001
2001181N08141,UTOR,2001
2001189N13130,TRAMI,2001
2001204N19127,YUTU,2001
2001206N14134,TORAJI,2001
2001213N18139,UNNAMED,2001
2001220N17118,USAGI,2001
2001225N18146,PABUK,2001
2001228N15118,UNNAMED,2001
2001239N19116,FITOW,2001
2001248N23125,NARI,2001
2001264N21126,LEKIMA,2001
2001284N16132,HAIYAN,2001
2001321N07148,UNNAMED,2001
2002008N07141,TAPAH,2002
2002057N06156,MITAG,2002
2002146N17113,UNNAMED,2002
2002155N20112,NOGURI,2002
2002178N04155,CHATAAN,2002
2002178N10139,RAMMASUN,2002
2002187N11160,HALONG,2002
2002189N21116,NAKRI,2002
